original_index,image_url,method,augmented_text,category_2,category_3,selling_price
0,https://rukminim1.flixcart.com/image/612/612/xif0q/smartwatch/q/4/2/-original-imaggstrsxtwxzar.jpeg?q=70,description_snippet,"Noise Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology Smartwatch",Smart Wearable Tech,Smart Watches,3999.0
0,https://rukminim1.flixcart.com/image/612/612/xif0q/smartwatch/q/4/2/-original-imaggstrsxtwxzar.jpeg?q=70,price_context,premium Noise Evolve AMOLED AOD 466 466px under ₹3999,Smart Wearable Tech,Smart Watches,3999.0
0,https://rukminim1.flixcart.com/image/612/612/xif0q/smartwatch/q/4/2/-original-imaggstrsxtwxzar.jpeg?q=70,highlights_fusion,Noise Evolve AMOLED AOD 466 1.43 AMOLED Always On Display (466*466px 326 PPI 500 nits brightness) Tru SyncTM Lightweight design with circular stainless steel ring Noise Health SuiteTM (SpO2 stress monitor 24*7 heart rate tracking Upto 7 days,Smart Wearable Tech,Smart Watches,3999.0
0,https://rukminim1.flixcart.com/image/612/612/xif0q/smartwatch/q/4/2/-original-imaggstrsxtwxzar.jpeg?q=70,category_prefix,"Smart Wearable Tech > Smart Watches: Noise Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology Smartwatch",Smart Wearable Tech,Smart Watches,3999.0
0,https://rukminim1.flixcart.com/image/612/612/xif0q/smartwatch/q/4/2/-original-imaggstrsxtwxzar.jpeg?q=70,keyword_drop,"Noise 3, 1.43"" AMOLED AOD, 500 calling,Tru Sync",Smart Wearable Tech,Smart Watches,3999.0
1,https://rukminim1.flixcart.com/image/612/612/l5iid8w0/charging-pad/2/h/q/foldable-fast-wireless-charger-for-apple-iphone-iwatch-and-original-imagg6afb9rkd7c2.jpeg?q=70,description_snippet,ICREATOR Foldable Fast Wireless Charger for Apple iPhone Iwatch and Wireless Airpods Charging Pad,Mobile Accessories,Mobile Chargers,2349.0
1,https://rukminim1.flixcart.com/image/612/612/l5iid8w0/charging-pad/2/h/q/foldable-fast-wireless-charger-for-apple-iphone-iwatch-and-original-imagg6afb9rkd7c2.jpeg?q=70,price_context,premium ICREATOR Foldable Fast Wireless Charger Apple under ₹2349,Mobile Accessories,Mobile Chargers,2349.0
1,https://rukminim1.flixcart.com/image/612/612/l5iid8w0/charging-pad/2/h/q/foldable-fast-wireless-charger-for-apple-iphone-iwatch-and-original-imagg6afb9rkd7c2.jpeg?q=70,highlights_fusion,ICREATOR Foldable Fast Wireless Charger Wireless Mobile Apple Watch Black Input Current: 3 A,Mobile Accessories,Mobile Chargers,2349.0
1,https://rukminim1.flixcart.com/image/612/612/l5iid8w0/charging-pad/2/h/q/foldable-fast-wireless-charger-for-apple-iphone-iwatch-and-original-imagg6afb9rkd7c2.jpeg?q=70,category_prefix,Mobile Accessories > Mobile Chargers: ICREATOR Foldable Fast Wireless Charger for Apple iPhone Iwatch and Wireless Airpods Charging Pad,Mobile Accessories,Mobile Chargers,2349.0
1,https://rukminim1.flixcart.com/image/612/612/l5iid8w0/charging-pad/2/h/q/foldable-fast-wireless-charger-for-apple-iphone-iwatch-and-original-imagg6afb9rkd7c2.jpeg?q=70,keyword_drop,ICREATOR Foldable Fast Wireless Charger Apple iPhone Wireless Airpods Pad,Mobile Accessories,Mobile Chargers,2349.0
2,https://rukminim1.flixcart.com/image/612/612/xif0q/suitcase/8/w/l/77-jfk-trolley-bag-19500est1red-set-of-3-dust-resistant-2500-day-original-imagh4epfrugckkh.jpeg?q=70,description_snippet,Uppercase Soft Body Set of 3 Luggage - 19500EST1RED JFK Eco Luggage Trolley bag / Travel bag with 2500 days Warranty - Red,Accessories,Luggage and Travel ,11500.0
2,https://rukminim1.flixcart.com/image/612/612/xif0q/suitcase/8/w/l/77-jfk-trolley-bag-19500est1red-set-of-3-dust-resistant-2500-day-original-imagh4epfrugckkh.jpeg?q=70,price_context,premium Uppercase Soft Body Set Luggage 19500EST1RED under ₹11500,Accessories,Luggage and Travel ,11500.0
2,https://rukminim1.flixcart.com/image/612/612/xif0q/suitcase/8/w/l/77-jfk-trolley-bag-19500est1red-set-of-3-dust-resistant-2500-day-original-imagh4epfrugckkh.jpeg?q=70,category_prefix,Accessories > Luggage and Travel: Uppercase Soft Body Set of 3 Luggage - 19500EST1RED JFK Eco Luggage Trolley bag / Travel bag with 2500 days Warranty - Red,Accessories,Luggage and Travel ,11500.0
