category_1,category_2,category_3,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights,image_links,h_index
Electronics,Laptops,Gaming Laptops,"ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/144 Hz) FX577ZE-HN056W Gaming Laptop  (15.6 inch, Jaeger Gray, 2.20 kg)",4.4,"₹1,01,645","₹1,37,990",TheAstrum,4.6,"As the ASUS TUF Gaming F15 Gaming Laptop is swift and delivers powerful performance, you can use it for gaming battles, finishing office assignments, creative artwork, and doing more. Featuring Windows 11 Home, it lets you conveniently play and swiftly finish multiple tasks without any interruptions. Also, this laptop’s 12th Generation Intel H-Series CPU ensures that it receives proper cooling at all times for improving the CPU performance while keeping the acoustics smooth. Moreover, the logo on this sleek device has a laser-designed and embossed finish that makes it look elegant.  ","15.6 inch Full HD, IPS-level, 250nits, Contras 1000:1, NTSC 45%, SRGB 62.50%, Adobe 47.34%, Anti-glare display Light Laptop without Optical Disk Drive",https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/l/7/m/-original-imagetj2awbvdju6.jpeg?q=70,2621
Electronics,Laptops,Gaming Laptops,"ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) F571GT-HN1062T Gaming Laptop  (15.6 inch, Star Black, 2.14 kg)",4.3,"₹53,999","₹77,990",TBL Online,4.7,"Whether you’re a productivity beast or an invincible gaming champion, the ASUS F571GT Gaming Core laptop is an ideal device for you. Featuring a 9th Gen Intel Core i5 processor, this laptop can easily handle resource-intensive programs and games. The efficient dual-fan cleaning system ensures that the laptop’s performance is not hampered by thermal issues. Additionally, the laptop features ASUS SonicMaster technology that has been created in collaboration with Harman Kardon to create an improved audio experience.  ","NVIDIA GeForce GTX 1650 15.6 inch Full HD LED Backlit Anti-glare Display (16:9, 250nits Brightness, NTSC: 45% Color Gamut, 80% Screen-to-body Ratio, IPS Level Panel) Light Laptop without Optical Disk Drive Pre-installed Genuine Windows 10 OS",https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/e/x/l/f571gt-hn1062t-gaming-laptop-asus-original-imag7bhdg6ruvjdb.jpeg?q=70,2622
Electronics,Laptops,Gaming Laptops,"MSI Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/Arc A370M Intel Arc/144 Hz) Thin GF63 12HW-004IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)",3.5,"₹73,490","₹89,990",BUZZINDIA,4.9,"Witness a thrilling gaming experience with the MSI Thin GF63 gaming laptop. It is powered by an Intel Arc graphics card so that you can get striking graphics and smooth gaming experience. The Cooler Boost technology of this laptop ensures efficient cooling performance even under heavy duty tasks and games. And, with versatile connectivity options , you can experience a highly engaging user experience. ","15.6 Inch FHD, 144Hz 45%NTSC IPS-Level Light Laptop without Optical Disk Drive",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/u/t/-original-imagg2ckbhxm5ksm.jpeg?q=70,2623
Electronics,Laptops,Gaming Laptops,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",4.4,"₹51,990","₹64,990",BUZZINDIA,4.9,"With this GeForce GTX 16 Series laptop, you can experience stutter-free gaming and a fantastic UI while making use of the remarkable NVIDIA Turing architecture's graphics performance. Additionally, owing to its incredible audio system, you can completely lose yourself in pure music and enjoy outstanding acoustic performance. Moreover, the MSI APP Player included with this laptop allows you to play console-style games on your laptop with an easy-to-use interface, enabling you to easily dominate your opponents.","NVIDIA GeForce GTX 1650 Max-Q 15.6 inch Full HD, Refresh Rate: 60 Hz, 45% NTSC IPS-Level Light Laptop without Optical Disk Drive",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,2624
Electronics,Laptops,Gaming Laptops,"MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) GF63 Thin 11UC-866IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)",4.4,"₹65,990","₹95,990",CORSECA,4.9,"Experience eccentric gaming and unmatched performance with smooth operation with the innovative MSI laptop, designed especially for gamers. This laptop is driven by an 11th Gen Intel Core i7 processor that scales up its performance significantly and allows you to enjoy a stutter-free user experience. Furthermore, the exceptional Ampere, NVIDIA's 2nd generation RTX architecture, employed in this laptop enhances the picture quality and augments its AI capabilities. Moreover, the rapid 144 Hz IPS-grade narrow bezel gaming display delivers a terrific gaming experience and amplifies the authenticity and vibrancy of your favourite game.","15.6 Inch Full HD, 144Hz, 45% NTSC, IPS-Level Panel Light Laptop without Optical Disk Drive Pre-installed Genuine Windows 10 OS",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,2625
Electronics,Laptops,Gaming Laptops,"MSI Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 MAX Q/144 Hz) GF63 Thin 11SC-852IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)",4.3,"₹69,990","₹89,990",CORSECA,4.9,"Endure exceptional performance and one-of-a-kind gameplay with the innovative MSI laptop, which was designed with gamers in mind. This laptop is powered by an 11th Gen Intel Core i7 processor, which drastically boosts speed and provides a judder-free user experience. Additionally, the excellent NVIDIA Turing architecture in this laptop enhances the image quality and increases its intuitive capabilities. The rapid 144 Hz IPS-grade low bezel gaming display also offers an excellent gaming experience by enhancing the brilliance and veracity of your favourite game.","NVIDIA GeForce GTX 1650 MAX Q 15.6 Inch Full HD, 144Hz, 45% NTSC, IPS-Level Panel Light Laptop without Optical Disk Drive Pre-installed Genuine Windows 10 OS",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,2626
Electronics,Laptops,Gaming Laptops,"MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 5500M/144 Hz) Bravo 15 B5DD-410IN Gaming Laptop  (15.6 inch, Black, 2.35 kg kg)",4.4,"₹57,990","₹72,990",BUZZINDIA,4.9,"Maximize your productivity and daily performance with the bring home the MSI Bravo 15 Ryzen 5 laptop. It comes with a dedicated cooling solution so that your laptop remains cool and noise-free even during intense gaming or working sessions. You can enjoy high-quality and flicker-free visuals on the AMD FreeSync Premium 144 Hz Display of this laptop. And with the powerful AMD Ryzen 5 5600H Mobile Processors, you can stay at the top of every game or the work you do. ","15.6 inch Full HD, Refresh Rate: 144 Hz, 45% NTSC, IPS-Level Light Laptop without Optical Disk Drive",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70,2627
Electronics,Laptops,Gaming Laptops,"MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 MAX Q/144 Hz) GF63 Thin 11SC-853IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)",4.4,"₹54,150","₹78,990",CORSECA,4.9,"Enjoy exemplary efficiency and distinctive gaming with the unique MSI laptop, which is created especially for gamers. An 11th Gen Intel Core i5 CPU, which significantly enhances performance and offers a judder-free user experience, powers this laptop. Furthermore, this laptop's superb NVIDIA Turing architecture improves the image quality and expands its perceptive possibilities. A great gaming sensation is also provided by the quick 144 Hz IPS-grade thin bezel gaming display, which increases the clarity and authenticity of your preferred game.","NVIDIA GeForce GTX 1650 MAX Q 15.6 Inch Full HD, 144Hz, 45% NTSC, IPS-Level Panel Light Laptop without Optical Disk Drive Pre-installed Genuine Windows 10 OS",https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,2628
Electronics,Laptops,Gaming Laptops,"DELL Allienware Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) Alienware x17 R2 Gaming Laptop  (17.3 Inch, Lunar Light, 2.34 Kg, With MS Office)",4.8,"₹3,00,490","₹11,74,131",PETILANTE Online,4.8,,"17.3 Inch Full HD, Comfortview Plus NVIDIA G-SYNC Advanced Optimus 1ms 360 Hz Light Laptop without Optical Disk Drive Preloaded with MS Office",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/g/r/alienware-x17-r2-gaming-laptop-dell-original-imagjh6whbhgguhg.jpeg?q=70,2629
Electronics,Laptops,Gaming Laptops,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G15-5511 Gaming Laptop  (15.6 inch, Specter Green With Speckles, 2.65 kg, With MS Office)",4.8,"₹73,490","₹2,87,304",PETILANTE Online,4.8,,"15.6 inch Full HD, WVA AG, Brightness: 250 nits, Refresh Rate: 120 Hz, Narrow Border Light Laptop without Optical Disk Drive Preloaded with MS Office",https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/t/p/g15-5511-gaming-laptop-dell-original-imagkb4qn4ex3dzt.jpeg?q=70,2630
