category_1,category_2,category_3,title,product_rating,selling_price,mrp,seller_name,seller_rating,description,highlights,image_links,h_index
Electronics,Health Care Appliances,Weighing Scale,Dr. Trust (USA) Model 514 Elegance Personal Digital Electronic Body Weight Machine For Human Body 180Kg Capacity Weighing Scale  (Grey),4.3,₹749,"₹2,000",SuperComNet,4.6,,"Personal with Digital Display Measures in: Kg, lb",https://rukminim1.flixcart.com/image/612/612/l47cu4w0/weighing-scale/n/t/g/usa-model-514-elegance-personal-digital-electronic-body-weight-original-imagf5hfkugxrguc.jpeg?q=70,2577
Electronics,Health Care Appliances,Weighing Scale,Luxafare Electronic Digital LCD Personal Weighing scale For Body Fitness Scale Weighing Machine for Human Body Weight machine Bathroom Scale Weighing Scale  (Multicolor),3.8,₹477,₹999,SahajEmpire,3.9,,Bathroom with Digital Display Measures in: KG,https://rukminim1.flixcart.com/image/612/612/kxp0mfk0/weighing-scale/e/5/e/electronic-digital-lcd-personal-weighing-scale-for-body-fitness-original-imaga3c8smd3bsxv.jpeg?q=70,2578
Electronics,Health Care Appliances,Weighing Scale,Pristyn care Weight Machine Pro Max | Premium Design Heavy Duty Electronic Thick Tempered Glass LCD Display Digital Personal Bathroom Health Body Weight Bathroom Weighing Scale | weight bathroom scale digital | Weight Scale For Human Body by beatXP Weighing Scale  (Black),4.1,₹599,"₹2,499",beatXP,4.7,"[ACCURATE MEASUREMENTS]: beatXP Weighing Scale have high precision strain gauge sensors with a capacity of 180 kg and denominations up to 0.1 kg Additionally, weighing scale comes with 2 free AAA batteries Always ignore first reading after initialisation. This device is already calibrated for optimum accurate use. Put, the machine on by pressing one foot on the top and apply pressure. The LED Screen will light up indicating its ON status. [ANTI SKID PADDING]: beatXP have 4 anti-skid padding keep the weighing platform stable while taking measurements. Place the scale on a flat surface (not carpet) to get the accurate weight for your body. [TOUGHENED GLASS]: This weighing machine is Built with a toughened glass platform (more durable & stronger than temper or disposition) & with precise and perfect cutting, which makes you feel that you are using a fine quality product and ensures safety and give you a comfortable weight tracking measurement. [COMPREHENSIVE FEATURES]: Weighing Scale comes with an easy to read LCD Display, Battery Power Indication and an Auto ON/OFF feature. Also it has a step on technology which describes that when anybody steps on the weighing scale, it displays the accurate weight on the screen. [EASY TO USE]: beatXP Sturdy Tempered Glass platform is comfortable and strong enough to use or LED Display is Clean and easy to read.","Personal - Digital with Digital Display Measures in: Kilograms, Pounds",https://rukminim1.flixcart.com/image/612/612/ku1k4280/weighing-scale/y/w/d/weight-machine-pro-max-premium-design-heavy-duty-electronic-original-imag7958bhykbugz.jpeg?q=70,2579
Electronics,Health Care Appliances,Weighing Scale,"texla 0.01 Gram to 200 Gram Weighing Display Units in G ,OZ ,TL ,CT Jwellery Pocket Weighing Scale (Silver) Weighing Scale  (Silver)",4.0,₹323,"₹1,015",Beauty full plus,4.0,"Texla 200 gram jwelley pocket weighing scale is widely used for weighing gold items , it gives you perfect weight and precision .It operated on 2 AAA battery And easy to use . It can be used in home , shop or many places where you want weight gold silver or small type items.","Jewellery with Digital Display Measures in: Gram, OZ, TL, CT Material: Plastic Maximum Weighing Capacity: 200 g Tare Function",https://rukminim1.flixcart.com/image/612/612/k6gsk280/weighing-scale/k/z/h/0-01-gram-to-200-gram-weighing-display-units-in-g-oz-tl-ct-original-imafzwuvzhjvpwhg.jpeg?q=70,2580
Electronics,Health Care Appliances,Weighing Scale,"Kelo Suitcase Weighing Scale- 50kg Portable Hanging Luggage Weight Machine Weighing Scale,50 Kg Weighing Scale with big size electric kata with metal hook, Portable Digital Luggage Scale,Portable Digital Luggage Scale with Metal Hook,hanging scale 50kg Weighing Scale - with Batteries Lu/25/KK Luggage Weighing Scale  (Black)",4.1,₹312,₹999,Gadgets Basket,4.6,"This Ultra Portable digital weighing scale, it is extremely accurate. Use for Home, Kitchen, Wastage (Newspaper) disposal, Vendors etc. Not for Commercial usage. Weigh Max Upto 50 KG, 88 LBS, 1,210 OZ. Large Blue Back-lit LCD Display makes for easy viewing. Automatic lock ( Tare ) in of reading when weight is stabilized. Handy portable and durable. Metal hook & Nylon Hand-grip for ease in picking up & weighing.","Personal - Digital with Digital Display Measures in: kg, gm, oz Material: Plastic, Steel Maximum Weighing Capacity: 50 kg Tare Function",https://rukminim1.flixcart.com/image/612/612/kwi5evk0/weighing-scale/b/2/7/suitcase-weighing-scale-50kg-portable-hanging-luggage-weight-original-imag95pmecyghayc.jpeg?q=70,2581
Electronics,Health Care Appliances,Weighing Scale,Hicks Weighing Scale Weighing Scale  (Grey),3.6,"₹1,275","₹2,250",HICKSTHERMOMETER,3.6,,Personal - Digital with Digital Display Measures in: kg,https://rukminim1.flixcart.com/image/612/612/xif0q/weighing-scale/b/c/w/weighing-scale-03-hicks-original-imagkxecz8whnv3j.jpeg?q=70,2582
Electronics,Health Care Appliances,Weighing Scale,Dr. Trust (USA) Supernova Digital Personal Electronic Weighing Machine For Human Body Weighing Scale  (Black),4.3,"₹1,049","₹3,000",Nureca Limited ,4.8,"Bring home this aesthetically appealing Dr. Trust weighing scale that has a weight capacity of up to 180 kg. The weighing units can be chosen with the help of the push-button that is available. Enjoy instant weighing results with this weighing scale’s Step-on technology. The blue perimeter lights are activated once you step on the scale, indicating that the weighing scale is active.",Personal with Digital Display Measures in: KG Material: Glass Maximum Weighing Capacity: 180 kg,https://rukminim1.flixcart.com/image/612/612/kah413k0/weighing-scale/z/8/a/usa-supernova-digital-personal-electronic-weight-machine-for-original-imafsf7wa3ecyfuw.jpeg?q=70,2583
Electronics,Health Care Appliances,Weighing Scale,beatXP Actifit Flare Weight Machine with 6mm Thick Tempered Glass for Human Body Weighing Scale  (Black),4.6,₹849,"₹2,499",beatXP,4.7,"[HIGH ACCURACY MEASUREMENT] : The bathroom weight scale has two different measurement units; kg and lbs. Its high-precision sensors provide measurements in the range of 2.5 to 180 kg with an accuracy of 0.5 kg.

[AUTO-CALIBRATION] : The weight machine for the human body is equipped with Step ON technology to automatically activate as soon as you step on it. Place the scale on a hard, flat surface for the best accuracy. Please ignore the first reading.

[BACKLIT LCD PANEL] : The electronic weighing machine shows clear and prominent readings on a large LCD display for an easy readout. Low battery and overload indicators to alert users. Operates on 2 AAA batteries.

[THOUGHTFULLY DESIGNED] : The all-new beatXP weighing scale has smooth corners and curved edges for increased safety. The digital bathroom weighing scale has a 6 mm thick tempered glass that is strong bearing and antiskid. It is easy to clean and requires low maintenance. Use our body weight machine for home, gym, and clinic.",Personal - Digital with Digital Display Measures in: Kgs Material: Glass Maximum Weighing Capacity: 180 g,https://rukminim1.flixcart.com/image/612/612/xif0q/weighing-scale/w/x/d/actifit-flare-weight-machine-with-6mm-thick-tempered-glass-for-original-imaghywmku6geyux.jpeg?q=70,2584
Electronics,Health Care Appliances,Weighing Scale,REXBURG Digital Weighing Scale Weighing Scale  (White),3.7,₹495,"₹1,699",OnlineVillage,4.0,"A healthy diet is an essential part of everyday life. This is a professional scale designed for the kitchen, mailroom, or even your workshop. It has a large round washable tray for routine cleaning. It ensures accurate weighing even in high humidity areas as its splash-proof design. It is made of fine quality material which is durable enough for your daily using. It has a beautiful appearance and special surface treatment. A high-quality Load cell is being used to show accurate weight.","Personal - Digital with Digital Display Measures in: g,kg,lb Material: Plastic Maximum Weighing Capacity: 10 kg Tare Function",https://rukminim1.flixcart.com/image/612/612/klzhq4w0/weighing-scale/k/i/p/digital-weighing-scale-rx-1004-rexburg-original-imagyzdbzcs2ywqz.jpeg?q=70,2585
Electronics,Health Care Appliances,Weighing Scale,"NIVAYO Balancia 30kg Steel Plate Double Display High Quality Weight Machine For Kitchen/Shop With Power Adapter & 4V Re-Chargeable Battery Weighing Scale (Black) (Platform Size- 170 x 210mm, Dual Display, On Off Memory Function,grocery,kata,taraju,shop,computer electronic vajan kata , tarazu , jewellery , sabzi ,4V Re-Chargeable Battery) # Made in India Weighing Scale (Black) Weighing Scale (Black) Weighing Scale (Black) RT-E50, Weighing Scale (Black) Weighing Scale  (Black)",3.9,"₹1,519","₹3,499",MSENTERPRISE0403,4.1,"OVERVIEW A VERY HIGH QUALITY MADE IN INDIA WEIGHING SCALE FOR MULTIPURPOSE USE: KITCHEN, HOME', SHOP, JEWELLERY, RESTAURANT, FACTORIES, LAB ETC. IT CAN WEIGH UPTO 30 KG WITH HIGH PRECISION . THE WEIGHT MACHINE COMES WITH RECHARGEABLE BATTERRIES AND AN ADAPTOR WITH HIGH QUALITY. MACHINE CAN BE USED IN DAY/ NIGHT WITH ITS GREEN LED BACKGROUND LIGHT WHICH ENABLES IT TO WORK IN ANY TIME. IT HAS DOUBLE DISPLAY ON BOTH SIDES AND COMES WITH PLENTY OF FEATUERS: TARE FUNCTION,AUTO SHUT OFF, RECHAREABLE BATTERIES. THIS MADE IN INDIA PRODUCT HAS QUALITY OF LONG LASTING. CUSTOMER GET 1 YEAR WARRANTY AND CALL SUPPORT.","Counter/Table Top with Digital Display Measures in: KG, GRAM Material: Plastic Maximum Weighing Capacity: 30 kg Tare Function",https://rukminim1.flixcart.com/image/612/612/l0mr7gw0/weighing-scale/j/j/f/balancia-30kg-steel-plate-double-display-high-quality-weight-original-imagcd8cfwsffgut.jpeg?q=70,2586
Electronics,Health Care Appliances,Weighing Scale,Healthgenie Digital Weight Machine Thick Tempered Glass LCD Display With 3 Years Warranty Weighing Scale  (Black),4.1,₹649,"₹1,199",HealthgenieIndia ,4.8,"Big LCD Display– Healthgenie Digital Weighing Machine has large LCD display which helps to read results easily. 

Back light - Weighing scale has back light display feature, which allows checking results even in complete dark.

Designer Look - Its Antique Copper look makes it stand alone & perfectly satisfies your buying. Its design will also complement well with your floor. 

Good Time to Weight : Body weight tends to fluctuate throughout the day as per food and liquid intake. The best time to weigh yourself for accurate results is early morning on empty stomach.


Automatic Functionality - Auto Power Off, Auto Zero, Low battery & Over load indication, are few of its automatic features that ease its usage. 

Easy To Use - Digital weight machine is equipped with 4 gauge sensors, & automatic step on technology, which gives precise & accurate results as soon as you step on it.

Safety Features - Healthgenie weight machine for body wight comes with thick tempered glass, round corners & anti skid platform to avoid any injury / accident while its usage.

Weight variations : It is suggested to always ignore the first reading of weight machine for calibration every time the scale is moved. Shift the scale as less as possible to avoid malfunctions. 

How To Calibrate Your Healthgenie Digital Weight Machine - To calibrate, place the weighing scale on hard, flat surface & initialize by pressing one foot on the platform until random numbers displays , remove foot as it returns to zero (0.0), now start to measure your weight. It is suggested to always ignore the first reading for calibration for best accuracy. 

How to Activate 36 Months Warranty: 
Just Give a miss call on 99319372978
or,
Send us invoice Copy on 88000 10926 or, 
Scan QR Code Present on Product Box or ,
Just login to www.healthgenie.in/warranty within 15 days of purchase or,
Call our customer care on 011 48323232 for Warranty, Installation Support or Any Other Queries (Working hours: Monday to Saturday from 10am to 6pm)","Personal - Digital with Digital Display Measures in: KG, LB Material: Glass Maximum Weighing Capacity: 180 kg",https://rukminim1.flixcart.com/image/612/612/xif0q/weighing-scale/n/l/r/digital-weight-machine-thick-tempered-glass-lcd-display-with-2-original-imaggdfmzhjsayj6.jpeg?q=70,2587
